Month	Average
Jan	3.68
Feb	3.34
Mar	3.88
Apr	3.55
May	3.22
Jun	3.17
Jul	3.12
Aug	3.55
Sep	3.26
Oct	3.32
Nov	3.85
Dec	3.63
